,,,,,,,,,,score
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,0.45666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,mistral-large-latest,open-mixtral-8x22b,,,,,,0.45666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,,0.45666666666666667
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,0.45666666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,0.4533333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.4533333333333333
claude-3-5-sonnet-20240620,command-r,gpt-4o,,,,,,,,0.4533333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,open-mixtral-8x22b,,,,,,,,0.4533333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,,,,,,,,0.4533333333333333
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,0.4533333333333333
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,,,,,,,0.4533333333333333
claude-3-5-sonnet-20240620,gpt-4-turbo-preview,gpt-4o,,,,,,,,0.45
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,,,0.45
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,,,,,,,0.45
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,,,,,,,0.45
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.45
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,0.45
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.44666666666666666
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.44666666666666666
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,open-mixtral-8x22b,,,,,,,0.44666666666666666
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.44666666666666666
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,0.44333333333333336
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.44333333333333336
claude-3-5-sonnet-20240620,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,,0.44333333333333336
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,0.44333333333333336
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,,,,,,,0.44333333333333336
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,,,,,,,,0.44333333333333336
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,,0.44333333333333336
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,0.44333333333333336
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,open-mixtral-8x22b,,,,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.44
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.44
claude-3-5-sonnet-20240620,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,,,,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.44
claude-3-opus-20240229,gpt-4o,,,,,,,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,0.44
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,,,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4o,,,,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,meta_llama3-70b-instruct-v1_0,,,,,,,,0.43666666666666665
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,open-mixtral-8x22b,,,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,open-mixtral-8x22b,,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,,,,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,0.43333333333333335
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,,,,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,0.43333333333333335
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.43
claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,0.43
claude-3-opus-20240229,open-mixtral-8x22b,,,,,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,0.43
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.43
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.43
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,mistral-large-latest,,,,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,mistral-large-latest,open-mixtral-8x22b,,,,,0.43
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,,,,,,,0.4266666666666667
claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,,,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,0.4266666666666667
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4o,mistral-large-latest,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,,,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,mistral-large-latest,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,,,0.4266666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,0.42333333333333334
claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4o,open-mixtral-8x22b,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,0.42333333333333334
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,open-mixtral-8x22b,,,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,0.42333333333333334
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.42333333333333334
claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,0.42333333333333334
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,0.42333333333333334
claude-3-5-sonnet-20240620,command-r,gpt-4o,open-mixtral-8x22b,,,,,,,0.42333333333333334
claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.42333333333333334
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,,,,,,,0.42
claude-3-5-sonnet-20240620,gemini-1_0-pro,gpt-4o,open-mixtral-8x22b,,,,,,,0.42
claude-3-5-sonnet-20240620,gemini-1_5-pro,,,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,0.42
claude-3-5-sonnet-20240620,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4o,,,,,,,0.42
claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,,,,0.42
claude-3-5-sonnet-20240620,open-mixtral-8x22b,,,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,mistral-large-latest,open-mixtral-8x22b,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,open-mixtral-8x22b,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,open-mixtral-8x22b,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,mistral-large-latest,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,open-mixtral-8x22b,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4o,mistral-large-latest,,,,,0.42
claude-3-opus-20240229,gpt-4o,open-mixtral-8x22b,,,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,0.42
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,0.42
claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.42
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,,0.42
claude-3-5-sonnet-20240620,gpt-4o,mistral-large-latest,,,,,,,,0.42
claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,,,,,,,,0.42
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,,,,,,0.42
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,open-mixtral-8x22b,,,,,,0.42
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,,0.42
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.42
claude-3-5-sonnet-20240620,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,,,,,0.42
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,open-mixtral-8x22b,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,0.4166666666666667
claude-3-5-sonnet-20240620,command-r,gpt-4-turbo-preview,gpt-4o,,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,mistral-large-latest,,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,gpt-4-turbo-preview,,,,,,,,,0.4166666666666667
claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,mistral-large-latest,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.4166666666666667
claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,0.4166666666666667
claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,meta_llama3-70b-instruct-v1_0,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,meta_llama3-70b-instruct-v1_0,open-mixtral-8x22b,,,,,0.4166666666666667
claude-3-opus-20240229,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,,,,,,0.4166666666666667
claude-3-opus-20240229,gemini-1_5-pro,gpt-4o,mistral-large-latest,open-mixtral-8x22b,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,open-mixtral-8x22b,,,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,command-r,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.4166666666666667
claude-3-5-sonnet-20240620,command-r,gemini-1_0-pro,gemini-1_5-pro,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,,,,0.4166666666666667
claude-3-5-sonnet-20240620,claude-3-opus-20240229,gemini-1_0-pro,gemini-1_5-pro,gpt-4-turbo-preview,gpt-4o,meta_llama3-70b-instruct-v1_0,mistral-large-latest,open-mixtral-8x22b,,0.4166666666666667
claude-3-opus-20240229,gpt-4o,mistral-large-latest,,,,,,,,0.4166666666666667
